id,word,type,abs_sg,obl_sg_stem,abs_pl,abs_pl_suffix,obl_pl_stem,abs_sg_cyr,obl_sg_stem_cyr,abs_pl_cyr,abs_pl_suffix_cyr,obl_pl_stem_cyr
38,ЛОКОТЬ,5,c':ikom,c':ikom,c':ikomi,l,c':ikomal,цІиком,цІиком,цІикоми,л,цІикомал
39,ЛАПА,4,kᵂač'a,kᵂač'alo,kᵂač'ibo,l,kᵂač'iba,квачІа,квачІало,квачІибо,л,квачІиба
40,КИСТЬ РУКИ,4,rela,relu,relobi,l,reloba,рела,релу,релоби,л,релоба
41,КУЛАК,5,za,zao,zadobi,l,zadoba,за,зао,задоби,л,задоба
42,ЛАДОНЬ,5,qota,qotu,qotobi,l,qotoba,хъота,хъоту,хъотоби,л,хъотоба
43,ГОРСТЬ (ОДНОЙ РУКИ),5,qota,qotu,qotobi,l,qotoba,хъота,хъоту,хъотоби,л,хъотоба
44,ГОРСТЬ (ДВУМЯ руками),5,ɬumur,ɬumur,ɬumurdu,l,ɬumurdoba,лъумур,лъумур,лъумурду,л,лъумурдоба
44,ГОРСТЬ (ДВУМЯ руками),5,ɬumur,ɬumur,ɬumurdu,l,ɬumurda,лъумур,лъумур,лъумурду,л,лъумурда
45,ПЯДЬ БОЛЬШАЯ (ОТ БОЛЬШОГО ПАЛЬЦА ДО МИЗИНЦА),5,heƛ'im,heƛ'im,heƛ'imo,l,heƛ'ima,гьеим,гьеим,гьеимо,л,гьеима
46,ПЯДЬ МАЛАЯ (ОТ БОЛЬШОГО ДО УКАЗАТЕЛЬНОГО ПАЛЬЦА),5,mič'i-heƛ'im,mič'i-heƛ'im,mič'i-heƛ'imo,l,mič'i-heƛ'ima,мичІигьеим,мичІигьеим,мичІигьеимо,л,мичІигьеима
47,НОГА (без ступни),5,čuk'a,čuk'alo,čuk'obi,l,čuk'oba,чукІа,чукІало,чукІоби,л,чукІоба
47,НОГА (передняя нога животного),4,reʁil,reʁil,reʁibo,l,reʁiba,реил,реил,реибо,л,реиба
48,СТУПНЯ,5,čuk'a,čuk'alo,čuk'obi,l,čuk'oba,чукІа,чукІало,чукІоби,л,чукІоба
49,ГОЛЕНЬ (нога ниже колена),5,nikᵂo,nikᵂolo,nikᵂobi,l,nikᵂoba,никво,никволо,никвоби,л,никвоба
49,ГОЛЕНЬ (нога ниже колена),5,nikᵂo,nikᵂo,nikᵂobi,l,nikᵂoba,никво,никво,никвоби,л,никвоба
50,БЕДРО,5,aqu,aquo,aqobi,l,aqoba,ахъу,ахъуо,ахъоби,л,ахъоба
51,ПЯТКА,5,miža,mižalo,mižobi,l,mižoba,мижа,мижало,мижоби,л,мижоба
53,ПАЛЕЦ,5,c':ek'a,c':ek'u,c':ek'obi,l,c':ek'oba,цІекІа,цІекІу,цІекІоби,л,цІекІоба
54,НОГОТЬ,5,muɬa,muɬalo,muɬobi,l,muɬoba,мулъа,мулъало,мулъоби,л,мулъоба
55,КОПЫТО,5,ɬol,ɬoll,ɬolibo,l,ɬoliba,лъол,лъолл,лъолибо,л,лъолиба
55,КОПЫТО,5,ɬol,ɬolo,ɬolibo,l,ɬoliba,лъол,лъоло,лъолибо,л,лъолиба
56,СЕРДЦЕ,4,rokᵂ'o,rokᵂ'olo,rokᵂ'o,l,rokᵂ'oli,рокІво,рокІволо,рокІво,л,рокІволи
57,ЛЕГКОЕ,5,χuns:ir,χuns:ir,χuns:irdu,l,χuns:irda,унссир,унссир,унссирду,л,унссирда
57,ЛЕГКОЕ,5,χuns:ir,χuns:ir,χuns:irdobi,l,χuns:irdoba,унссир,унссир,унссирдоби,л,унссирдоба
58,ПЕЧЕНЬ,4,reliƛi,reliƛu,reliƛobi,l,reliƛoba,релии,релиу,релиоби,л,релиоба
58,ПЕЧЕНЬ,4,reliƛi,reliƛu,reliƛo,l,reliƛa,релии,релиу,релио,л,релиа
59,СЕЛЕЗЁНКА,4,bakᵂ'olulas:i,bakᵂ'olulas:i,bakᵂ'olulas:o,l,bakᵂ'olulas:a,бакІволуласси,бакІволуласси,бакІволулассо,л,бакІволуласса
60,ПОЧКА,4,k':unu,k':unulo,k':unibo,l,k':uniba,кІуну,кІунуло,кІунибо,л,кІуниба
61,ЖЕЛУДОК,4,iχwob,iχwodo,iχwodu,l,iχwodoba,ивоб,иводо,иводу,л,иводоба
61,ЖЕЛУДОК,4,iχwob,iχwodo,iχwodu,l,iχwoda,ивоб,иводо,иводу,л,ивода
61,ЖЕЛУДОК (живот),4,ʁᵂaʁᵂači,ʁᵂaʁᵂaču,ʁᵂaʁᵂačobi,l,ʁᵂaʁᵂačoba,аачи,аачу,аачоби,л,аачоба
62,СЫЧУГ,5,boƛ'i,boƛ'ilo,boƛ'o,l,boƛ'a,бои,боило,боо,л,боа
63,КИШКА,5,ručol,ručol,ručolo,l,ručola,ручол,ручол,ручоло,л,ручола
64,ПИЩЕВОД,5,c:ula,c:ulalo,c:ulibo,l,c:uliba,ццула,ццулало,ццулибо,л,ццулиба
65,ЖИЛА,5,š:ek'i,š:ek'ilo,š:ek'i,l,š:ek'ili,щекІи,щекІило,щекІи,л,щекІили
66,КОСТЬ (сплошная),5,roƛ'i,roƛ'ilo,roƛ'o,l,roƛ'a,рои,роило,роо,л,роа
66,КОСТЬ (трубчатая),5,tomšil,tomšil,tomšilo,l,tomšila,томшил,томшил,томшило,л,томшила
67,СУСТАВ (сочленение костей),5,šink'i,šink'ilo,šink'i,l,šink'ili,шинкІи,шинкІило,шинкІи,л,шинкІили
67,СУСТАВ (сочленение костей),4,rič'in,rič'in,rič'imo,l,rič'ima,ричІин,ричІин,ричІимо,л,ричІима
68,ХРЯЩ,4,c'il,c'ill,c'ilibo,l,c'iliba,цІил,цІилл,цІилибо,л,цІилиба
69,ШКУРА МЕЛКОКОПЫТНОГО ( ~ овцы),4,χuca,χucalo,χuco,l,χuca,уца,уцало,уцо,л,уца
69,ШКУРА МЕЛКОКОПЫТНОГО ( ~ козы),5,c':uku,c':ukuo,c':ukobi,l,c':ukoba,цІуку,цІукуо,цІукоби,л,цІукоба
69,ШКУРА МЕЛКОКОПЫТНОГО ( ~ козы),5,c':uku,c':ukuo,c':ukodu,l,c':ukoda,цІуку,цІукуо,цІукоду,л,цІукода
69,ШКУРА МЕЛКОКОПЫТНОГО ( ~ козы),5,c':uku,c':ukuo,c':ukodu,l,c':ukodoba,цІуку,цІукуо,цІукоду,л,цІукодоба
70,ШКУРА КРУПНОКОПЫТНОГО,5,bakᵂol,bakᵂol,bakᵂolo,l,bakᵂola,баквол,баквол,бакволо,л,баквола
71,ШЕРСТЬ ОВЕЧЬЯ ( ~ весенняя),4,χurši,χurši,,,,урши,урши,,,
71,ШЕРСТЬ ОВЕЧЬЯ ( ~ осенняя),4,miχi,miχilo,,,,мии,миило,,,
73,ВОЛОС,5,ɬin,ɬinl,ɬinibo,l,ɬiniba,лъин,лъинл,лъинибо,л,лъиниба
74,ПРИЧЕСКА МУЖСКАЯ,5,bočiči,bočičilo,bočičobi,l,bočičoba,бочичи,бочичило,бочичоби,л,бочичоба
74,ПРИЧЕСКА МУЖСКАЯ,5,bočiči,bočiču,bočičobi,l,bočičoba,бочичи,бочичу,бочичоби,л,бочичоба
75,КОСА ЖЕНСКАЯ,5,harƛ'u,harƛ'ulo,harƛ'obi,l,harƛ'oba,гьару,гьаруло,гьароби,л,гьароба
76,ПЕТУШИНЫЙ ГРЕБЕНЬ,5,q'amu,q'amuo,q'amodu,l,q'amoda,къаму,къамуо,къамоду,л,къамода
