id,word,type,abs_sg,obl_sg_stem,abs_pl,abs_pl_suffix,obl_pl_stem,abs_sg_cyr,obl_sg_stem_cyr,abs_pl_cyr,abs_pl_suffix_cyr,obl_pl_stem_cyr
141,ЩЕНОК,3,k'unc':i,k'unc':o,k'unc':o,l,k'unc':a,кІунцІи,кІунцІо,кІунцІо,л,кІунцІа
142,КОШКА,3,gedu,gedo,gedobi,l,gedoba,геду,гедо,гедоби,л,гедоба
143,КУРИЦА,3,ũ̍ʔecu,ũ̍ʔecu,ũ̍ʔecobi,l,ũ̍ʔecoba,ецу,ецу,ецоби,л,ецоба
144,ПЕТУХ,3,alkuci,alkucu,alkucobi,l,alkucoba,алкуци,алкуцу,алкуцоби,л,алкуцоба
147,ОЛЕНЬ,3,belir,belir,belirdu,l,belirda,белир,белир,белирду,л,белирда
147,ОЛЕНЬ,3,belir,belir,belirdu,l,belirdoba,белир,белир,белирду,л,белирдоба
149,МЕДВЕДЬ,3,seji,sejo,seji,l,sejili,сейи,сейо,сейи,л,сейили
150,ВОЛК,3,boc'o,boc'u,boc'o,l,boc'oli,боцІо,боцІу,боцІо,л,боцІоли
151,ЛИСА,3,sor,sor,sordu,l,sorda,сор,сор,сорду,л,сорда
151,ЛИСА,3,sor,sor,sordu,l,sordoba,сор,сор,сорду,л,сордоба
152,ЗАЯЦ,3,ƛ'ank'ala,ƛ'ank'alu,ƛ'ank'aldu,l,ƛ'ank'alda,анкІала,анкІалу,анкІалду,л,анкІалда
152,ЗАЯЦ,3,ƛ'ank'ala,ƛ'ank'alu,ƛ'ank'aldu,l,ƛ'ank'aldoba,анкІала,анкІалу,анкІалду,л,анкІалдоба
153,БАРСУК,3,onχ:ur,onχ:ur,onχ:urdu,l,onχ:urda,онур,онур,онурду,л,онурда
153,БАРСУК,3,onχ:ur,onχ:ur,onχ:urdu,l,onχ:urdoba,онур,онур,онурду,л,онурдоба
154,"ЗВЕРЬ ПУШНОЙ (ЛАСКА, КУНИЦА, БЕЛКА)",3,darɢᵂa,darɢᵂalo,darɢᵂibdu,l,darɢᵂibda,дара,дарало,дарибду,л,дарибда
154,"ЗВЕРЬ ПУШНОЙ (ЛАСКА, КУНИЦА, БЕЛКА)",3,darɢᵂa,darɢᵂalo,darɢᵂibdu,l,darɢᵂibdoba,дара,дарало,дарибду,л,дарибдоба
154,"ЗВЕРЬ ПУШНОЙ (ЛАСКА, КУНИЦА, БЕЛКА)",3,sarƛ'u,sarƛ'o,sarƛ'odu,l,sarƛ'oda,сару,саро,сароду,л,сарода
154,"ЗВЕРЬ ПУШНОЙ (ЛАСКА, КУНИЦА, БЕЛКА)",3,sarƛ'u,sarƛ'o,sarƛ'odu,l,sarƛ'odoba,сару,саро,сароду,л,сародоба
155,МЫШЬ,3,hink':u,hink:ᵂo,hink':o,l,hink':a,гьинкІу,гьинкко,гьинкІо,л,гьинкІа
156,ЕЖ,3,onži,onžilo,onži,l,onžili,онжи,онжило,онжи,л,онжили
157,"ПТИЦА ХИЩНАЯ (ОРЕЛ, СОКОЛ, ЯСТРЕБ)",3,c':un,c':un,c':ummu,l,c':umma,цІун,цІун,цІумму,л,цІумма
157,"ПТИЦА ХИЩНАЯ (ОРЕЛ, СОКОЛ, ЯСТРЕБ)",3,qačirʁa,qačirʁu,qačirʁo,l,qačirʁa,хъачира,хъачиру,хъачиро,л,хъачира
158,ВОРОНА,3,ʁanni,ʁanno,ʁanno,l,ʁanna,анни,анно,анно,л,анна
159,"ПТИЦА ЧЕРНАЯ (ГАЛКА, ГРАЧ, СКВОРЕЦ)",3,č':inʁa,č':inʁo,č':inʁo,l,č':inʁa,чІина,чІино,чІино,л,чІина
160,СОРОКА,3,čordi-ʁanni,čordi-ʁanno,čordi-ʁanno,l,čordi-ʁanna,чордианни,чордианно,чордианно,л,чордианна
163,"ПТИЦА ХИЩНАЯ НОЧНАЯ (СОВА, ФИЛИН)",3,buhu,buho,bubodu,l,buboda,бугьу,бугьо,бубоду,л,бубода
163,"ПТИЦА ХИЩНАЯ НОЧНАЯ (СОВА, ФИЛИН)",3,buhu,buho,bubodu,l,bubodoba,бугьу,бугьо,бубоду,л,бубодоба
165,КУРОПАТКА,3,ʁobʁo,ʁobʁolo,ʁobʁo,l,ʁobʁoli,обо,оболо,обо,л,оболи
166,ГОЛУБЬ,3,ʁuʁu,ʁuʁo,ʁuʁobi,l,ʁuʁoba,уу,уо,уоби,л,уоба
167,ЛАСТОЧКА,3,horč'ičol,horč'ičol,horč'ičolo,l,horč'ičola,гьорчІичол,гьорчІичол,гьорчІичоло,л,гьорчІичола
168,ПТИЦА,3,š:ekib,š:ekib,š:ekibo,l,š:ekiba,щекиб,щекиб,щекибо,л,щекиба
169,ГНЕЗДО,5,bešon,bešon,bešomi,l,bešoma,бешон,бешон,бешоми,л,бешома
170,РЫБА,3,χwami,χwamilo,χwami,l,χwamili,вами,вамило,вами,л,вамили
171,ЛЯГУШКА,3,q'urru,q'urro,q'urro,l,q'urra,къурру,къурро,къурро,л,къурра
172,ЯЩЕРИЦА,3,k':onč:u,k':onč:ulo,k':onč:,ol,k':onč:a,кІонччу,кІонччуло,кІончч,ол,кІончча
173,ЗМЕЯ,3,berča,berču,berčo,l,berča,берча,берчу,берчо,л,берча
174,ЧЕРВЬ,3,berča,berču,berčo,l,berča,берча,берчу,берчо,л,берча
175,ПИЯВКА,3,kurenži,kurenžilo,kurenžo,l,kurenža,куренжи,куренжило,куренжо,л,куренжа
176,МУХА,3,t'ent'a,t'ent'u,t'ent'o,l,t'ent'a,тІентІа,тІентІу,тІентІо,л,тІентІа
177,СЛЕПЕНЬ,3,nič'u,nič'uo,nič'odu,l,nič'oda,ничІу,ничІуо,ничІоду,л,ничІода
177,СЛЕПЕНЬ,3,nič'u,nič'uo,nič'odu,l,nič'odoba,ничІу,ничІуо,ничІоду,л,ничІодоба
178,ПЧЕЛА,3,pera,peru,perdu,l,perda,пера,перу,перду,л,перда
178,ПЧЕЛА,3,pera,peru,perdu,l,perdoba,пера,перу,перду,л,пердоба
179,КОМАР,3,k':ara,k':aralo,,,,кІара,кІарало,,,
180,МОЛЬ,3,resi,resi,,,,реси,реси,,,
181,МУРАВЕЙ,3,ɬanc':i,ɬanc':ilo,ɬanc':o,l,ɬanc':a,лъанцІи,лъанцІило,лъанцІо,л,лъанцІа
182,ПАУК,3,misqara,misqaru,misqardu,l,misqarda,мисхъара,мисхъару,мисхъарду,л,мисхъарда
182,ПАУК,3,misqara,misqaru,misqardu,l,misqardoba,мисхъара,мисхъару,мисхъарду,л,мисхъардоба
183,БАБОЧКА,3,q'at'ipa,q'at'ipu,q'at'ipo,l,q'at'ipa,къатІипа,къатІипу,къатІипо,л,къатІипа
184,КУЗНЕЧИК,3,ʁac'a,ʁac'u,ʁac'o,l,ʁac'a,ацІа,ацІу,ацІо,л,ацІа
185,КЛЕЩ,3,labila,labilu,labilo,l,labila,лабила,лабилу,лабило,л,лабила
186,БЛОХА,3,č'onni,č'onnilo,č'onno,l,č'onna,чІонни,чІоннило,чІонно,л,чІонна
187,ВОШЬ,3,noc':i,noc':ilo,noc':o,l,noc':a,ноцІи,ноцІило,ноцІо,л,ноцІа
188,ГНИДА,3,t'ana,t'analo,t'ano,l,t'ana,тІана,тІанало,тІано,л,тІана
189,КЛОП,3,ƛ'anχil,ƛ'anχil,ƛ'anχil,ol,ƛ'anχila,анил,анил,анил,ол,анила
190,ДЕРЕВО,4,reša,rešu,rešobi,l,rešoba,реша,решу,решоби,л,решоба
191,ЛЕС,4,reša,rešu,rešobi,l,rešoba,реша,решу,решоби,л,решоба
192,КУСТ,4,žala,žalu,žalibo,l,žaliba,жала,жалу,жалибо,л,жалиба
193,ВЕТКА,5,anga,angalo,angibo,l,angiba,анга,ангало,ангибо,л,ангиба
194,ЛИСТ,5,ɬaχib,ɬaχib,ɬaχibo,l,ɬaχiba,лъаиб,лъаиб,лъаибо,л,лъаиба
195,"КОРА, КОЖУРА",5,qal,qal,qal,il,qalili,хъал,хъал,хъал,ил,хъалили
196,КОРЕНЬ,5,hiƛ'im,hiƛ'im,hiƛ'imo,l,hiƛ'ima,гьиим,гьиим,гьиимо,л,гьиима
197,СМОЛА,5,pirc':i,pirc':ilo,,,,пирцІи,пирцІило,,,
198,ПЕНЬ,5,k'urc':o,k'urc':olo,k'urc':obdu,l,k'urc':obda,кІурцІо,кІурцІоло,кІурцІобду,л,кІурцІобда
198,ПЕНЬ,5,k'urc':o,k'urc':olo,k'urc':obdu,l,k'urc':obdoba,кІурцІо,кІурцІоло,кІурцІобду,л,кІурцІобдоба
199,ЩЕПКА,5,c'umur,c'umur,c'umurdu,l,c'umurda,цІумур,цІумур,цІумурду,л,цІумурда
199,ЩЕПКА,5,c'umur,c'umur,c'umurdu,l,c'umurdoba,цІумур,цІумур,цІумурду,л,цІумурдоба
200,БЕРЕЗА,5,beχu,beχu,,,,беу,беу,,,
202,ЛИПА,5,χwo,χwo,,,,во,во,,,
203,ИВА,5,hinc':u,hinc':ulo,,,,гьинцІу,гьинцІуло,,,
204,ТРАВА,5,kᵂordo,kᵂordo,kᵂordo,l,kᵂordoli,квордо,квордо,квордо,л,квордоли
204,ТРАВА (сено),4,hunč'a,hunč'alo,hunč',ol,hunč'a,гьунчІа,гьунчІало,гьунчІ,ол,гьунчІа
205,ЦВЕТОК,4,ǯinǯi,ǯinǯo,ǯinǯo,l,ǯinǯa,джинджи,джинджо,джинджо,л,джинджа
206,ЧЕРЕМША,5,hamku,hamkulo,hamku,l,hamkuli,гьамку,гьамкуло,гьамку,л,гьамкули
207,ТМИН,5,miɢᵂor,miɢᵂor,,,,миор,миор,,,
208,МЯТА,5,inc:irt'a,inc:irt'u,,,,инцциртІа,инцциртІу,,,
210,КАМЫШ,5,c':uma,c':umu,,,,цІума,цІуму,,,
211,СОРНЯК,5,č'aχa,č'aχalo,č'aχa,l,č'aχali,чІаа,чІаало,чІаа,л,чІаали
212,КРАПИВА,5,mič'i,mič'i,,,,мичІи,мичІи,,,
213,КОЛЮЧКА (шип растения),5,c':ana,c':anu,c':anibo,l,c':aniba,цІана,цІану,цІанибо,л,цІаниба
214,КОЛЮЧЕЕ ТРАВЯНИСТОЕ РАСТЕНИЕ,4,χubχul,χubχul,χubχulo,l,χubχula,убул,убул,убуло,л,убула
215,ЯБЛОКО,5,inči,inči,inči,l,inčili,инчи,инчи,инчи,л,инчили
216,ГРУША,5,hĩhĩ,hĩhĩlo,hĩhĩ,l,hĩhĩli,гьгь,гьгьло,гьгь,л,гьгьли
217,АБРИКОС,5,ɢurči,ɢurčo,ɢurčo,l,ɢurča,урчи,урчо,урчо,л,урча
218,ВИНОГРАД,5,č'ič'il,č'ič'il,č'ič'ilo,l,č'ič'ila,чІичІил,чІичІил,чІичІило,л,чІичІила
219,АЛЫЧА,4,k'urk'ul,k'urk'ul,k'urk'ulo,l,k'urk'ula,кІуркІул,кІуркІул,кІуркІуло,л,кІуркІула
220,СЛИВА,4,k'urk'ul,k'urk'ul,k'urk'ulo,l,k'urk'ula,кІуркІул,кІуркІул,кІуркІуло,л,кІуркІула
224,ЗЕМЛЯНИКА,4,riɢriɢil,riɢriɢil,riɢriɢilo,l,riɢriɢila,ририил,ририил,ририило,л,ририила
225,ЯГОДА ШИПОВНИКА,5,χ:ᵂoto,χ:ᵂotolo,χ:ᵂotibo,l,χ:ᵂotiba,ото,отоло,отибо,л,отиба
226,ОРЕХ,4,ɢᵂaɢᵂal,ɢᵂaɢᵂal,ɢᵂaɢᵂalo,l,ɢᵂaɢᵂala,аал,аал,аало,л,аала
227,КОСТОЧКА (плода),5,gaga,gagu,gagibo,l,gagiba,гага,гагу,гагибо,л,гагиба
228,ЛУК,5,k'onča,k'onču,k'onč,ol,k'ončoli,кІонча,кІончу,кІонч,ол,кІончоли
229,ЧЕСНОК,5,raži,raži,,,,ражи,ражи,,,
230,ГОРОХ,4,holi,holi,holi,l,holili,гьоли,гьоли,гьоли,л,гьолили
231,ЗЕРНЫШКО,5,q'ir,q'ir,q'iri,l,q'irili,къир,къир,къири,л,къирили
232,ЗЕРНО (собир.),5,muɢa,muɢalo,,,,муа,муало,,,
232,ЗЕРНО (собир.),5,muɢa,muɢu,,,,муа,муу,,,
233,СЕМЯ,4,šen,šen,,,,шен,шен,,,
234,КОЛОС,5,rola,rolu,rol,ol,rola,рола,ролу,рол,ол,рола
235,ОСТЬ (колоса),5,ƛ'una,ƛ'una,,,,уна,уна,,,
236,СОЛОМА,5,sit'a,sit'o,sit'o,l,sit'a,ситІа,ситІо,ситІо,л,ситІа
237,МЯКИНА,4,nik:u,nik:u,nik:odu,l,nik:oda,никку,никку,никкоду,л,никкода
237,МЯКИНА,4,nik:u,nik:u,nik:odu,l,nik:odoba,никку,никку,никкоду,л,никкодоба
238,ПШЕНИЦА,5,muɢa,muɢu,,,,муа,муу,,,
239,РОЖЬ,5,č'or,č'oro,,,,чІор,чІоро,,,
240,ПРОСО,5,beča,beču,,,,беча,бечу,,,
241,ОВЁС,5,niχa,niχalo,,,,ниа,ниало,,,
242,ЯЧМЕНЬ,5,burč'ina,burč'inu,,,,бурчІина,бурчІину,,,
243,МУКА,4,lenšur,lenšur,,,,леншур,леншур,,,
244,ТЕСТО,5,hat'i,hat'i,,,,гьатІи,гьатІи,,,
245,ТОЛОКНО,4,gun,gun,,,,гун,гун,,,
246,СОЛОД,5,linni,linni,,,,линни,линни,,,
247,ЖАРЕНОЕ ЗЕРНО,3,ƛ'imu,ƛ'imulo,,,,иму,имуло,,,
248,ХЛЕБ,5,ʁan,ʁan,ʁano,l,ʁana,ан,ан,ано,л,ана
248,ХЛЕБ (лепешка),4,karaki,karaku,karako,l,karaka,караки,караку,карако,л,карака
249,ХЛЕБНОЕ ИЗДЕЛИЕ С НАЧИНКОЙ,5,ingura,inguru,,,,ингура,ингуру,,,
250,МОЛОКО,4,š:iwu,š:iwu,š:iwodu,l,š:iwoda,щиву,щиву,щиводу,л,щивода
250,МОЛОКО,4,š:iwu,š:iwu,š:iwodu,l,š:iwodoba,щиву,щиву,щиводу,л,щиводоба
251,СЫВОРОТКА,4,ɢerc':i,ɢerc':o,,,,ерцІи,ерцІо,,,
252,МОЛОЗИВО,5,c':iru,c':irdo,,,,цІиру,цІирдо,,,
253,МАСЛО,4,ƛurƛa,ƛurƛo,ƛurƛo,l,ƛurƛa,ура,уро,уро,л,ура
254,СМЕТАНА,5,lel,lell,lel,il,lelili,лел,лелл,лел,ил,лелили
254,СМЕТАНА,5,lel,lel,lel,il,lelili,лел,лел,лел,ил,лелили
255,СЫР (творог),4,iso,iso,iso,l,isoli,исо,исо,исо,л,исоли
255,СЫР (брынза),4,č'ami,č'ami,č'ami,l,č'amili,чІами,чІами,чІами,л,чІамили
256,МЯСО,5,riƛ'i,riƛ'i,riƛ'i,l,riƛ'ili,рии,рии,рии,л,риили
257,ЖИР,4,sosi,sosi,sosi,l,sosili,соси,соси,соси,л,сосили
258,БУЛЬОН,4,koš:i,koš:i,koš:i,l,koš:ili,кощи,кощи,кощи,л,кощили
259,ХИНКАЛ,5,q'innil,q'innil,q'innilo,l,q'innila,къиннил,къиннил,къиннило,л,къиннила
260,ЯЙЦО,4,k'ork'on,k'ork'on,k'ork'omi,l,k'ork'omi,кІоркІон,кІоркІон,кІоркІоми,л,кІоркІоми
261,СОЛЬ,4,c':on,c':on,,,,цІон,цІон,,,
262,"ХМЕЛЬНОЙ НАПИТОК, БУЗА",4,č'aʔa,č'aʔa,,,,чІаа,чІаа,,,
262,"ХМЕЛЬНОЙ НАПИТОК, БУЗА",4,medi,medilo,,,,меди,медило,,,
263,МЕД,4,hunc':i,hunc':i,hunc':i,l,hunc':ili,гьунцІи,гьунцІи,гьунцІи,л,гьунцІили
264,РУБАШКА,4,kᵂanno,kᵂannolo,kᵂannibdu,l,kᵂannibda,кванно,кванноло,кваннибду,л,кваннибда
264,РУБАШКА,4,kᵂanno,kᵂannu,kᵂannibdu,l,kᵂannibdoba,кванно,кванну,кваннибду,л,кваннибдоба
265,ШТАНЫ,4,ošqogi,ošqogu,ošqogobi,l,ošqogoba,ошхъоги,ошхъогу,ошхъогоби,л,ошхъогоба
266,"БУРКА, ВОЙЛОК",5,burtina,burtinu,burtimo,l,burtima,буртина,буртину,буртимо,л,буртима
267,"ТУЛУП, ШУБА",5,qapača,qapaču,qapačo,l,qapača,хъапача,хъапачу,хъапачо,л,хъапача
267,"ТУЛУП, ШУБА ( ~ с длинными рукавами)",5,biɬo,biɬo,biɬodu,l,biɬoda,билъо,билъо,билъоду,л,билъода
267,"ТУЛУП, ШУБА ( ~ с длинными рукавами)",5,biɬo,biɬo,biɬodu,l,biɬodoba,билъо,билъо,билъоду,л,билъодоба
268,ПАПАХА,5,raɢᵂara,raɢᵂaru,raɢᵂardobi,l,raɢᵂardoba,раара,раару,раардоби,л,раардоба
268,ПАПАХА,5,raɢᵂara,raɢᵂaru,raɢᵂardu,l,raɢᵂarda,раара,раару,раарду,л,раарда
268,ПАПАХА,5,raɢᵂara,raɢᵂaru,raɢᵂardu,l,raɢᵂardoba,раара,раару,раарду,л,раардоба
269,ПЛАТОК ЖЕНСКИЙ,4,k'azi,k'azilo,k'azi,l,k'azili,кІази,кІазило,кІази,л,кІазили
269,ПЛАТОК ЖЕНСКИЙ,4,k'azi,k'azi,k'azi,l,k'azili,кІази,кІази,кІази,л,кІазили
269,ПЛАТОК ЖЕНСКИЙ,4,jawluqi,jawluqilo,jawluqo,l,jawluqa,йавлухъи,йавлухъило,йавлухъо,л,йавлухъа
270,ЧУХТА,5,čuχt'u,čuχt'u,čuχt'u,l,čuχt'uli,чутІу,чутІу,чутІу,л,чутІули
271,КОЛЬЦО,4,c':ek'a-ɬol,c':ek'a-ɬol,c':ek'a-ɬolo,l,c':ek'a-ɬola,цІекІалъол,цІекІалъол,цІекІалъоло,л,цІекІалъола
272,БРАСЛЕТ,4,kᵂorq'in,kᵂorq'in,kᵂorq'imo,l,kᵂorq'ima,кворкъин,кворкъин,кворкъимо,л,кворкъима
273,"ПОЛОСКА КОЖИ, РЕМЕШОК",4,č'ol,č'olo,č'olibo,l,č'oliba,чІол,чІоло,чІолибо,л,чІолиба
273,"ПОЛОСКА КОЖИ, РЕМЕШОК (широкая ~ )",5,iɬob,iɬob,iɬobi,l,iɬoba,илъоб,илъоб,илъоби,л,илъоба
274,ПОЯС,4,roƛ'očul,roƛ'očul,roƛ'očulo,l,roƛ'očula,роочул,роочул,роочуло,л,роочула
275,ПУГОВИЦА,5,mirʁara,mirʁaralo,mirʁardu,l,mirʁarda,мирара,мирарало,мирарду,л,мирарда
275,ПУГОВИЦА,5,mirʁara,mirʁaru,mirʁardu,l,mirʁardoba,мирара,мирару,мирарду,л,мирардоба
276,ЗАСТЕЖКА,5,kic'u,kic'uo,kic'du,l,kic'da,кицІу,кицІуо,кицІду,л,кицІда
276,ЗАСТЕЖКА,5,kic'u,kic'uo,kic'du,l,kic'doba,кицІу,кицІуо,кицІду,л,кицІдоба
276,ЗАСТЕЖКА,5,kic'u,kic'uo,kic'obi,l,kic'oba,кицІу,кицІуо,кицІоби,л,кицІоба
277,РУКАВ,5,kᵂol,kᵂolo,kᵂolibo,l,kᵂoliba,квол,кволо,кволибо,л,кволиба
278,РУКАВИЦА,4,kᵂoɬir,kᵂoɬir,kᵂoɬirdu,l,kᵂoɬirda,кволъир,кволъир,кволъирду,л,кволъирда
278,РУКАВИЦА,4,kᵂoɬir,kᵂoɬir,kᵂoɬirdu,l,kᵂoɬirdoba,кволъир,кволъир,кволъирду,л,кволъирдоба
279,НОСОК ВЯЗАНЫЙ,5,padan,padan,padami,l,padamili,падан,падан,падами,л,падамили
280,"САПОГ (ВОЙЛОЧНЫЙ, вязаный)",5,čakmahi,čakmahu,čakmaho,l,čakmaha,чакмагьи,чакмагьу,чакмагьо,л,чакмагьа
281,ГОЛЕНИЩЕ,5,s:akur,s:akur,s:akurdu,l,s:akurda,ссакур,ссакур,ссакурду,л,ссакурда
281,ГОЛЕНИЩЕ,5,s:akur,s:akur,s:akurdu,l,s:akurdoba,ссакур,ссакур,ссакурду,л,ссакурдоба
282,СОХА,4,rebc:u,rebc:uo,rebc:odu,l,rebc:oda,ребццу,ребццуо,ребццоду,л,ребццода
282,СОХА,4,rebc:u,rebc:ulo,rebc:odu,l,rebc:odoba,ребццу,ребццуло,ребццоду,л,ребццодоба
283,СОВНИК,5,q'eb,q'ebdo,q'ebadu,l,q'ebada,къеб,къебдо,къебаду,л,къебада
283,СОВНИК,5,q'eb,q'ebdo,q'ebadu,l,q'ebadoba,къеб,къебдо,къебаду,л,къебадоба
284,ЯРМО,4,ruƛ'o,ruƛ'o,ruƛ'odu,l,ruƛ'oda,руо,руо,руоду,л,руода
284,ЯРМО,4,ruƛ'o,ruƛ'oo,ruƛ'odu,l,ruƛ'odoba,руо,руоо,руоду,л,руодоба
285,МОЛОТИЛЬНАЯ ДОСКА,5,belim,belim,belimo,l,belima,белим,белим,белимо,л,белима
286,ЛОПАТА (деревянная),4,reχ:in,reχ:in,reχ:imo,l,reχ:ima,реин,реин,реимо,л,реима
286,ЛОПАТА (деревянная),4,reχ:in,reχ:in,reχ:imo,l,reχ:ima,реин,реин,реимо,л,реима
286,ЛОПАТА (железная),5,bel,bell,beladu,l,belada,бел,белл,беладу,л,белада
286,ЛОПАТА (железная),5,bel,bell,beladu,l,beladoba,бел,белл,беладу,л,беладоба
287,КИРКА,4,gaza,gazalo,gazibo,l,gaziba,газа,газало,газибо,л,газиба
287,КИРКА,4,gaza,gaza,gazibo,l,gaziba,газа,газа,газибо,л,газиба
287,КИРКА,4,gaza,gazu,gazibo,l,gaziba,газа,газу,газибо,л,газиба
288,МОТЫГА,5,cel,cell,cel,il,cela,цел,целл,цел,ил,цела
289,ГРАБЛИ,5,ɬabɬal,ɬabɬalo,ɬabɬalo,l,ɬabɬala,лъаблъал,лъаблъало,лъаблъало,л,лъаблъала
289,ГРАБЛИ,5,ɬabɬal,ɬabɬal,ɬabɬalo,l,ɬabɬala,лъаблъал,лъаблъал,лъаблъало,л,лъаблъала
290,ВИЛЫ,5,k'onƛ'a,k'onƛ'u,k'onƛ'ibo,l,k'onƛ'iba,кІона,кІону,кІонибо,л,кІониба
291,СЕРП,5,qandiru,qandiru,qandirdu,l,qandirda,хъандиру,хъандиру,хъандирду,л,хъандирда
291,СЕРП,5,qandiru,qandiru,qandirdu,l,qandirdoba,хъандиру,хъандиру,хъандирду,л,хъандирдоба
292,КОСА,5,ničo,ničoo,ničodu,l,ničoda,ничо,ничоо,ничоду,л,ничода
292,КОСА,5,ničo,ničolo,ničodu,l,ničodoba,ничо,ничоло,ничоду,л,ничодоба
293,ПИЛА,5,quqadir,quqadir,quqadiro,l,quqadira,хъухъадир,хъухъадир,хъухъадиро,л,хъухъадира
294,ТОПОР,4,anžidi,anžidu,anžidobi,l,anžidoba,анжиди,анжиду,анжидоби,л,анжидоба
295,МОЛОТОК,4,kurt'a,kurt'alo,kurt'ibdu,l,kurt'ibda,куртІа,куртІало,куртІибду,л,куртІибда
295,МОЛОТОК,4,kurt'a,kurt'u,kurt'ibdu,l,kurt'ibdoba,куртІа,куртІу,куртІибду,л,куртІибдоба
297,ГВОЗДЬ,5,hamkᵂ'o,hamkᵂ'olo,hamkᵂ'odu,l,hamkᵂ'oda,гьамкІво,гьамкІволо,гьамкІводу,л,гьамкІвода
298,КЛИН,5,hamkᵂ'o,hamkᵂ'olo,hamkᵂ'odu,l,hamkᵂ'odoba,гьамкІво,гьамкІволо,гьамкІводу,л,гьамкІводоба
299,КОЛ,5,hamkᵂ'o,hamkᵂ'olo,hamkᵂ'odu,l,hamkᵂ'oda,гьамкІво,гьамкІволо,гьамкІводу,л,гьамкІвода
300,ПАЛКА,4,c'ul,c'ull,c'ulibo,l,c'uliba,цІул,цІулл,цІулибо,л,цІулиба
300,ПАЛКА (посох),4,ɢant'a,ɢant'a,ɢant'ibo,l,ɢant'iba,антІа,антІа,антІибо,л,антІиба
300,ПАЛКА (посох),4,ɢant'a,ɢant'alo,ɢant'ibo,l,ɢant'iba,антІа,антІало,антІибо,л,антІиба
300,ПАЛКА (посох),4,ɢant'a,ɢant'ul,ɢant'ibo,l,ɢant'iba,антІа,антІул,антІибо,л,антІиба
301,ШИЛО,4,himu,himulo,himodu,l,himoda,гьиму,гьимуло,гьимоду,л,гьимода
301,ШИЛО,4,himu,himuo,himodu,l,himodoba,гьиму,гьимуо,гьимоду,л,гьимодоба
302,ИГЛА,5,bežun,bežun,bežumo,l,bežuma,бежун,бежун,бежумо,л,бежума
303,СПИЦА ВЯЗАЛЬНАЯ,5,bežun,bežun,bežumo,l,bežuma,бежун,бежун,бежумо,л,бежума
304,НАПЕРСТОК,5,c':ek'a,c':ek'u,c':ek'obi,l,c':ek'oba,цІекІа,цІекІу,цІекІоби,л,цІекІоба
305,НОЖНИЦЫ,4,isir,isir,isirdu,l,isirda,исир,исир,исирду,л,исирда
305,НОЖНИЦЫ,4,isir,isir,isirdu,l,isirdoba,исир,исир,исирду,л,исирдоба
306,ВЕРЕВКА,4,rošan,rošan,rošami,l,rošami,рошан,рошан,рошами,л,рошами
306,ВЕРЕВКА (кожаная),5,iɬob,iɬob,iɬobi,l,iɬoba,илъоб,илъоб,илъоби,л,илъоба
307,НИТКА,4,rekun,rekun,rekumo,l,rekuma,рекун,рекун,рекумо,л,рекума
308,МОТОК НИТОК,4,girgin,girgin,girgimo,l,girgima,гиргин,гиргин,гиргимо,л,гиргима
308,МОТОК НИТОК,4,girgin,girgin,girgimo,l,girgima,гиргин,гиргин,гиргимо,л,гиргима
309,ГРЕБЕНЬ ДЛЯ ШЕРСТИ,4,hoƛ'u,hoƛ'uo,hoƛ'odu,l,hoƛ'oda,гьоу,гьоуо,гьооду,л,гьоода
309,ГРЕБЕНЬ ДЛЯ ШЕРСТИ,4,hoƛ'u,hoƛ'uo,hoƛ'odu,l,hoƛ'odoba,гьоу,гьоуо,гьооду,л,гьоодоба
309,ГРЕБЕНЬ ДЛЯ ШЕРСТИ,4,hoƛ'u,hoƛ'uo,hoƛ'obi,l,hoƛ'oba,гьоу,гьоуо,гьооби,л,гьооба
309,ГРЕБЕНЬ ДЛЯ ШЕРСТИ,4,hoƛ'u,hoƛ'ulo,hoƛ'odu,l,hoƛ'odoba,гьоу,гьоуло,гьооду,л,гьоодоба
309,ГРЕБЕНЬ ДЛЯ ШЕРСТИ,4,hoƛ'u,hoƛ'ulo,hoƛ'obi,l,hoƛ'oba,гьоу,гьоуло,гьооби,л,гьооба
310,ВЕРЕТЕНО,4,migᵂa,migᵂalo,migᵂobi,l,migᵂoba,мигва,мигвало,мигвоби,л,мигвоба
310,ВЕРЕТЕНО,4,migᵂa,migᵂa,migᵂobi,l,migᵂoba,мигва,мигва,мигвоби,л,мигвоба
312,КАТОК ДЛЯ КРЫШИ,4,girgin,girgin,girgimo,l,girgima,гиргин,гиргин,гиргимо,л,гиргима
312,КАТОК ДЛЯ КРЫШИ,4,girgin,girgin,girgimo,l,girgima,гиргин,гиргин,гиргимо,л,гиргима
313,КУЗНЕЧНЫЙ МЕХ,4,purχul,purχulo,purχulo,l,purχula,пурул,пуруло,пуруло,л,пурула
313,КУЗНЕЧНЫЙ МЕХ,4,purχul,purχul,purχulo,l,purχula,пурул,пурул,пуруло,л,пурула
314,ЩИПЦЫ ДЛЯ УГЛЕЙ,5,χuc'u,χuc'ulo,χuc'odu,l,χuc'odoba,уцІу,уцІуло,уцІоду,л,уцІодоба
314,ЩИПЦЫ ДЛЯ УГЛЕЙ,5,χuc'u,χuc'uo,χuc'odu,l,χuc'odoba,уцІу,уцІуо,уцІоду,л,уцІодоба
